text,label
skin rash blackheads scurring,1
skin rash pus filled pimples blackheads scurring,1
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,25
muscle wasting patches in throat high fever extra marital contacts,2
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
headache chest pain dizziness loss of balance lack of concentration,24
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,26
muscle weakness stiff neck swelling joints painful walking,5
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,20
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,31
burning micturition bladder discomfort foul smell of urine continuous feel of urine,39
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity excessive hunger increased appetite polyuria,12
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes,22
skin rash joint pain skin peeling small dents in nails inflammatory nails,36
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption,3
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
constipation pain during bowel movements pain in anal region bloody stool irritation in anus,13
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,23
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision excessive hunger increased appetite polyuria,12
back pain weakness in limbs neck pain dizziness loss of balance,7
fatigue cough high fever breathlessness mucoid sputum,6
joint pain vomiting yellowish skin dark urine nausea loss of appetite diarrhoea mild fever yellowing of eyes muscle pain,19
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,20
fatigue cough high fever breathlessness family history mucoid sputum,6
continuous sneezing shivering chills watering from eyes,4
fatigue yellowish skin nausea loss of appetite family history,21
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,35
acidity indigestion headache excessive hunger stiff neck depression irritability visual disturbances,31
fatigue weight gain mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,27
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,31
itching vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,20
vomiting dehydration diarrhoea,16
joint pain vomiting fatigue yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,23
fatigue cramps bruising obesity swollen legs prominent veins on calf,40
acidity indigestion headache blurred and distorted vision stiff neck depression irritability visual disturbances,31
itching vomiting fatigue weight loss high fever yellowish skin dark urine abdominal pain,29
itching skin rash stomach pain burning micturition,14
chills fatigue cough high fever breathlessness sweating malaise phlegm chest pain fast heart rate rusty sputum,35
burning micturition bladder discomfort foul smell of urine continuous feel of urine,39
fatigue yellowish skin loss of appetite yellowing of eyes family history,21
vomiting headache nausea spinning movements loss of balance unsteadiness,0
chest pain dizziness loss of balance lack of concentration,24
fatigue weight loss restlessness lethargy irregular sugar level blurred and distorted vision obesity increased appetite polyuria,12
itching vomiting weight loss high fever yellowish skin dark urine abdominal pain,29
vomiting sunken eyes dehydration diarrhoea,16
vomiting fatigue anxiety headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,26
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,20
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,36
skin rash joint pain skin peeling silver like dusting small dents in nails inflammatory nails,36
vomiting breathlessness sweating chest pain,18
chills vomiting weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,37
fatigue cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,40
continuous sneezing shivering chills,4
fatigue mood swings weight loss restlessness sweating diarrhoea fast heart rate excessive hunger muscle weakness irritability abnormal menstruation,25
fatigue yellowish skin nausea loss of appetite yellowing of eyes family history,21
chills vomiting fatigue high fever headache nausea constipation abdominal pain diarrhoea toxic look (typhos) belly pain,38
continuous sneezing chills fatigue cough high fever headache swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
burning micturition bladder discomfort foul smell of urine continuous feel of urine,39
vomiting indigestion loss of appetite abdominal pain passage of gases,34
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,26
fatigue mood swings weight loss restlessness sweating diarrhoea excessive hunger muscle weakness irritability abnormal menstruation,25
chills vomiting fatigue cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,37
vomiting breathlessness sweating chest pain,18
vomiting headache nausea loss of balance unsteadiness,0
fatigue weight gain cold hands and feets mood swings lethargy dizziness enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,27
vomiting headache weakness of one body side altered sensorium,33
patches in throat high fever extra marital contacts,2
vomiting headache nausea spinning movements loss of balance,0
constipation pain during bowel movements pain in anal region bloody stool,13
itching skin rash nodal skin eruptions,15
fatigue cough high fever breathlessness family history mucoid sputum,6
skin rash pus filled pimples blackheads scurring,1
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes coma stomach bleeding,23
fatigue cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,27
vomiting yellowish skin nausea loss of appetite abdominal pain yellowing of eyes,9
skin rash high fever blister red sore around nose yellow crust ooze,28
skin rash high fever blister red sore around nose yellow crust ooze,28
continuous sneezing chills fatigue cough high fever swelled lymph nodes malaise phlegm throat irritation redness of eyes sinus pressure runny nose congestion chest pain loss of smell muscle pain,10
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,31
stomach pain acidity ulcers on tongue cough chest pain,17
skin rash high fever blister red sore around nose yellow crust ooze,28
stomach pain acidity ulcers on tongue vomiting cough chest pain,17
itching skin rash stomach pain burning micturition spotting urination,14
itching fatigue lethargy yellowish skin dark urine loss of appetite abdominal pain yellow urine yellowing of eyes malaise receiving blood transfusion receiving unsterile injections,20
muscle wasting patches in throat high fever extra marital contacts,2
itching vomiting weight loss high fever yellowish skin dark urine abdominal pain,29
vomiting sunken eyes dehydration diarrhoea,16
headache nausea spinning movements loss of balance unsteadiness,0
skin rash chills vomiting fatigue high fever headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
fatigue weight gain cold hands and feets mood swings lethargy dizziness puffy face and eyes enlarged thyroid brittle nails swollen extremeties depression irritability abnormal menstruation,27
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,30
joint pain vomiting fatigue yellowish skin dark urine nausea abdominal pain yellowing of eyes,22
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
chills vomiting fatigue weight loss cough high fever breathlessness sweating loss of appetite mild fever yellowing of eyes swelled lymph nodes malaise phlegm chest pain blood in sputum,37
vomiting sunken eyes dehydration diarrhoea,16
chills vomiting high fever sweating headache nausea diarrhoea muscle pain,30
vomiting breathlessness sweating chest pain,18
chills fatigue cough high fever breathlessness sweating phlegm chest pain fast heart rate rusty sputum,35
skin rash chills joint pain vomiting fatigue headache nausea loss of appetite pain behind the eyes back pain malaise muscle pain red spots over body,11
headache chest pain dizziness loss of balance lack of concentration,24
fatigue cough high fever breathlessness family history mucoid sputum,6
vomiting yellowish skin abdominal pain swelling of stomach distention of abdomen history of alcohol consumption fluid overload,3
continuous sneezing shivering chills watering from eyes,4
vomiting indigestion loss of appetite passage of gases internal itching,34
cramps bruising obesity swollen legs swollen blood vessels prominent veins on calf,40
stomach pain acidity ulcers on tongue vomiting cough chest pain,17
acidity indigestion headache blurred and distorted vision excessive hunger stiff neck depression irritability visual disturbances,31
joint pain vomiting fatigue high fever yellowish skin dark urine nausea loss of appetite abdominal pain yellowing of eyes acute liver failure coma stomach bleeding,23
muscle wasting patches in throat high fever extra marital contacts,2
joint pain vomiting fatigue yellowish skin dark urine nausea abdominal pain yellowing of eyes,22
fatigue cramps bruising obesity swollen legs swollen blood vessels,40
vomiting breathlessness sweating chest pain,18
vomiting fatigue anxiety sweating headache nausea blurred and distorted vision excessive hunger drying and tingling lips slurred speech irritability palpitations,26
